Location,Status,Reason
Sensor 91 at Lake 91,Unsafe,turbidity too high
Sensor 92 at Lake 92,Unsafe,"pH too low, turbidity too high"
Sensor 93 at Lake 93,Safe,
Sensor 94 at Lake 94,Unsafe,turbidity too high
Sensor 95 at Lake 95,Unsafe,turbidity too high
Sensor 96 at Lake 96,Unsafe,turbidity too high
Sensor 97 at Lake 97,Unsafe,turbidity too high
Sensor 98 at Lake 98,Unsafe,turbidity too high
Sensor 99 at Lake 99,Unsafe,turbidity too high
Sensor 100 at Lake 100,Unsafe,turbidity too high
Sensor 101 at Lake 101,Unsafe,turbidity too high
Sensor 102 at Lake 102,Unsafe,turbidity too high
Sensor 103 at Lake 103,Unsafe,turbidity too high
Sensor 104 at Lake 104,Unsafe,"pH too low, turbidity too high"
Sensor 105 at Lake 105,Unsafe,turbidity too high
Sensor 106 at Lake 106,Unsafe,"pH too low, turbidity too high"
Sensor 107 at Lake 107,Unsafe,turbidity too high
Sensor 108 at Lake 108,Unsafe,turbidity too high
Sensor 109 at Lake 109,Unsafe,"pH too low, turbidity too high"
Sensor 110 at Lake 110,Unsafe,turbidity too high
Sensor 111 at Lake 111,Unsafe,turbidity too high
Sensor 112 at Lake 112,Unsafe,turbidity too high
Sensor 113 at Lake 113,Unsafe,"pH too low, turbidity too high"
Sensor 114 at Lake 114,Unsafe,turbidity too high
Sensor 115 at Lake 115,Safe,
Sensor 116 at Lake 116,Unsafe,turbidity too high
Sensor 117 at Lake 117,Unsafe,turbidity too high
Sensor 118 at Lake 118,Unsafe,turbidity too high
Sensor 119 at Lake 119,Unsafe,turbidity too high
Sensor 120 at Lake 120,Unsafe,turbidity too high
Sensor 121 at Lake 121,Unsafe,turbidity too high
Sensor 122 at Lake 122,Unsafe,"pH too low, turbidity too high"
Sensor 123 at Lake 123,Unsafe,"pH too low, turbidity too high"
Sensor 124 at Lake 124,Unsafe,turbidity too high
Sensor 125 at Lake 125,Unsafe,"pH too low, turbidity too high"
Sensor 126 at Lake 126,Unsafe,turbidity too high
Sensor 127 at Lake 127,Unsafe,turbidity too high
Sensor 128 at Lake 128,Unsafe,turbidity too high
Sensor 129 at Lake 129,Unsafe,turbidity too high
Sensor 130 at Lake 130,Unsafe,turbidity too high
Sensor 131 at Lake 131,Unsafe,"pH too low, turbidity too high"
Sensor 132 at Lake 132,Unsafe,turbidity too high
Sensor 133 at Lake 133,Unsafe,turbidity too high
Sensor 134 at Lake 134,Unsafe,turbidity too high
Sensor 135 at Lake 135,Unsafe,turbidity too high
Sensor 136 at Lake 136,Unsafe,turbidity too high
Sensor 137 at Lake 137,Unsafe,turbidity too high
Sensor 138 at Lake 138,Unsafe,turbidity too high
Sensor 139 at Lake 139,Unsafe,turbidity too high
Sensor 140 at Lake 140,Unsafe,turbidity too high
Sensor 141 at Lake 141,Unsafe,turbidity too high
Sensor 142 at Lake 142,Unsafe,turbidity too high
Sensor 143 at Lake 143,Unsafe,turbidity too high
Sensor 144 at Lake 144,Unsafe,turbidity too high
Sensor 145 at Lake 145,Unsafe,turbidity too high
Sensor 146 at Lake 146,Unsafe,turbidity too high
Sensor 147 at Lake 147,Unsafe,turbidity too high
Sensor 148 at Lake 148,Unsafe,turbidity too high
Sensor 149 at Lake 149,Unsafe,turbidity too high
Sensor 150 at Lake 150,Unsafe,"pH too low, turbidity too high"
Sensor 151 at Lake 151,Unsafe,turbidity too high
Sensor 152 at Lake 152,Unsafe,turbidity too high
Sensor 153 at Lake 153,Unsafe,turbidity too high
Sensor 154 at Lake 154,Unsafe,turbidity too high
Sensor 155 at Lake 155,Unsafe,turbidity too high
Sensor 156 at Lake 156,Unsafe,turbidity too high
Sensor 157 at Lake 157,Unsafe,turbidity too high
Sensor 158 at Lake 158,Unsafe,turbidity too high
Sensor 159 at Lake 159,Unsafe,turbidity too high
Sensor 160 at Lake 160,Unsafe,turbidity too high
Sensor 161 at Lake 161,Unsafe,turbidity too high
Sensor 162 at Lake 162,Unsafe,turbidity too high
Sensor 163 at Lake 163,Unsafe,turbidity too high
Sensor 164 at Lake 164,Unsafe,turbidity too high
Sensor 165 at Lake 165,Unsafe,turbidity too high
Sensor 166 at Lake 166,Unsafe,turbidity too high
Sensor 167 at Lake 167,Unsafe,"pH too low, turbidity too high"
Sensor 168 at Lake 168,Unsafe,turbidity too high
Sensor 169 at Lake 169,Unsafe,turbidity too high
Sensor 170 at Lake 170,Unsafe,turbidity too high
Sensor 171 at Lake 171,Unsafe,turbidity too high
Sensor 172 at Lake 172,Unsafe,turbidity too high
Sensor 173 at Lake 173,Unsafe,turbidity too high
Sensor 174 at Lake 174,Unsafe,turbidity too high
Sensor 175 at Lake 175,Unsafe,"pH too low, turbidity too high"
Sensor 176 at Lake 176,Unsafe,turbidity too high
Sensor 177 at Lake 177,Unsafe,turbidity too high
Sensor 178 at Lake 178,Unsafe,turbidity too high
Sensor 179 at Lake 179,Unsafe,turbidity too high
Sensor 180 at Lake 180,Unsafe,turbidity too high
Sensor 181 at Lake 181,Unsafe,"pH too low, turbidity too high"
Sensor 182 at Lake 182,Unsafe,turbidity too high
Sensor 183 at Lake 183,Unsafe,turbidity too high
Sensor 184 at Lake 184,Unsafe,turbidity too high
Sensor 185 at Lake 185,Unsafe,turbidity too high
Sensor 186 at Lake 186,Unsafe,turbidity too high
Sensor 187 at Lake 187,Unsafe,turbidity too high
Sensor 188 at Lake 188,Unsafe,"pH too low, turbidity too high"
Sensor 189 at Lake 189,Unsafe,turbidity too high
Sensor 190 at Lake 190,Unsafe,turbidity too high
Sensor 191 at Lake 191,Unsafe,turbidity too high
Sensor 192 at Lake 192,Unsafe,turbidity too high
Sensor 193 at Lake 193,Unsafe,turbidity too high
Sensor 194 at Lake 194,Unsafe,"pH too low, turbidity too high"
Sensor 195 at Lake 195,Unsafe,turbidity too high
Sensor 196 at Lake 196,Unsafe,turbidity too high
Sensor 197 at Lake 197,Unsafe,turbidity too high
Sensor 198 at Lake 198,Unsafe,"pH too low, turbidity too high"
Sensor 199 at Lake 199,Unsafe,"pH too low, turbidity too high"
Sensor 200 at Lake 200,Unsafe,turbidity too high
Sensor 201 at Lake 201,Unsafe,"pH too low, turbidity too high"
Sensor 202 at Lake 202,Unsafe,turbidity too high
Sensor 203 at Lake 203,Unsafe,"pH too low, turbidity too high"
Sensor 204 at Lake 204,Unsafe,turbidity too high
Sensor 205 at Lake 205,Unsafe,turbidity too high
Sensor 206 at Lake 206,Unsafe,turbidity too high
Sensor 207 at Lake 207,Unsafe,turbidity too high
Sensor 208 at Lake 208,Unsafe,turbidity too high
Sensor 209 at Lake 209,Unsafe,turbidity too high
Sensor 210 at Lake 210,Unsafe,"pH too low, turbidity too high"
Sensor 211 at Lake 211,Unsafe,turbidity too high
Sensor 212 at Lake 212,Unsafe,turbidity too high
Sensor 213 at Lake 213,Unsafe,"pH too low, turbidity too high"
Sensor 214 at Lake 214,Unsafe,turbidity too high
Sensor 215 at Lake 215,Unsafe,turbidity too high
Sensor 216 at Lake 216,Unsafe,turbidity too high
Sensor 217 at Lake 217,Unsafe,turbidity too high
Sensor 218 at Lake 218,Unsafe,turbidity too high
Sensor 219 at Lake 219,Unsafe,turbidity too high
Sensor 220 at Lake 220,Unsafe,turbidity too high
Sensor 221 at Lake 221,Unsafe,turbidity too high
Sensor 222 at Lake 222,Unsafe,"pH too low, turbidity too high"
Sensor 223 at Lake 223,Unsafe,turbidity too high
Sensor 224 at Lake 224,Unsafe,turbidity too high
Sensor 225 at Lake 225,Unsafe,turbidity too high
Sensor 226 at Lake 226,Unsafe,"pH too low, turbidity too high"
Sensor 227 at Lake 227,Unsafe,turbidity too high
Sensor 228 at Lake 228,Unsafe,turbidity too high
Sensor 229 at Lake 229,Unsafe,turbidity too high
Sensor 230 at Lake 230,Unsafe,turbidity too high
Sensor 231 at Lake 231,Unsafe,turbidity too high
Sensor 232 at Lake 232,Unsafe,turbidity too high
Sensor 233 at Lake 233,Unsafe,turbidity too high
Sensor 234 at Lake 234,Unsafe,"pH too low, turbidity too high"
Sensor 235 at Lake 235,Unsafe,turbidity too high
Sensor 236 at Lake 236,Unsafe,"pH too low, turbidity too high"
Sensor 237 at Lake 237,Unsafe,turbidity too high
Sensor 238 at Lake 238,Unsafe,turbidity too high
Sensor 239 at Lake 239,Unsafe,turbidity too high
Sensor 240 at Lake 240,Unsafe,turbidity too high
Sensor 241 at Lake 241,Safe,
Sensor 242 at Lake 242,Unsafe,turbidity too high
Sensor 243 at Lake 243,Unsafe,turbidity too high
Sensor 244 at Lake 244,Unsafe,"pH too low, turbidity too high"
Sensor 245 at Lake 245,Unsafe,turbidity too high
Sensor 246 at Lake 246,Unsafe,turbidity too high
Sensor 247 at Lake 247,Unsafe,turbidity too high
Sensor 248 at Lake 248,Unsafe,turbidity too high
Sensor 249 at Lake 249,Unsafe,turbidity too high
Sensor 250 at Lake 250,Unsafe,turbidity too high
Sensor 251 at Lake 251,Unsafe,turbidity too high
Sensor 252 at Lake 252,Unsafe,turbidity too high
Sensor 253 at Lake 253,Unsafe,turbidity too high
Sensor 254 at Lake 254,Unsafe,turbidity too high
Sensor 255 at Lake 255,Unsafe,"pH too low, turbidity too high"
Sensor 256 at Lake 256,Unsafe,turbidity too high
Sensor 257 at Lake 257,Unsafe,turbidity too high
Sensor 258 at Lake 258,Unsafe,turbidity too high
Sensor 259 at Lake 259,Unsafe,turbidity too high
Sensor 260 at Lake 260,Unsafe,turbidity too high
Sensor 261 at Lake 261,Unsafe,turbidity too high
Sensor 262 at Lake 262,Unsafe,turbidity too high
Sensor 263 at Lake 263,Unsafe,turbidity too high
Sensor 264 at Lake 264,Unsafe,turbidity too high
Sensor 265 at Lake 265,Unsafe,turbidity too high
Sensor 266 at Lake 266,Unsafe,turbidity too high
Sensor 267 at Lake 267,Unsafe,turbidity too high
Sensor 268 at Lake 268,Unsafe,turbidity too high
Sensor 269 at Lake 269,Unsafe,turbidity too high
Sensor 270 at Lake 270,Unsafe,turbidity too high
Sensor 271 at Lake 271,Unsafe,turbidity too high
Sensor 272 at Lake 272,Unsafe,"pH too low, turbidity too high"
Sensor 273 at Lake 273,Unsafe,turbidity too high
Sensor 274 at Lake 274,Unsafe,turbidity too high
Sensor 275 at Lake 275,Unsafe,turbidity too high
Sensor 276 at Lake 276,Unsafe,turbidity too high
Sensor 277 at Lake 277,Unsafe,turbidity too high
Sensor 278 at Lake 278,Unsafe,turbidity too high
Sensor 279 at Lake 279,Unsafe,turbidity too high
Sensor 280 at Lake 280,Unsafe,turbidity too high
Sensor 281 at Lake 281,Unsafe,turbidity too high
Sensor 282 at Lake 282,Unsafe,turbidity too high
Sensor 283 at Lake 283,Unsafe,turbidity too high
Sensor 284 at Lake 284,Unsafe,turbidity too high
Sensor 285 at Lake 285,Unsafe,turbidity too high
Sensor 286 at Lake 286,Unsafe,turbidity too high
Sensor 287 at Lake 287,Safe,
Sensor 288 at Lake 288,Unsafe,turbidity too high
Sensor 289 at Lake 289,Unsafe,turbidity too high
Sensor 290 at Lake 290,Unsafe,turbidity too high
Sensor 291 at Lake 291,Unsafe,turbidity too high
Sensor 292 at Lake 292,Unsafe,turbidity too high
Sensor 293 at Lake 293,Unsafe,turbidity too high
Sensor 294 at Lake 294,Unsafe,turbidity too high
Sensor 295 at Lake 295,Unsafe,turbidity too high
Sensor 296 at Lake 296,Unsafe,turbidity too high
Sensor 297 at Lake 297,Unsafe,turbidity too high
Sensor 298 at Lake 298,Unsafe,"pH too low, turbidity too high"
Sensor 299 at Lake 299,Unsafe,turbidity too high
Sensor 300 at Lake 300,Unsafe,"pH too low, turbidity too high"
Sensor 301 at Lake 301,Unsafe,turbidity too high
Sensor 302 at Lake 302,Unsafe,turbidity too high
Sensor 303 at Lake 303,Unsafe,turbidity too high
Sensor 304 at Lake 304,Unsafe,"pH too low, turbidity too high"
Sensor 305 at Lake 305,Unsafe,turbidity too high
Sensor 306 at Lake 306,Unsafe,turbidity too high
Sensor 307 at Lake 307,Unsafe,turbidity too high
Sensor 308 at Lake 308,Unsafe,turbidity too high
Sensor 309 at Lake 309,Unsafe,"pH too low, turbidity too high"
Sensor 310 at Lake 310,Unsafe,turbidity too high
Sensor 311 at Lake 311,Unsafe,turbidity too high
Sensor 312 at Lake 312,Unsafe,turbidity too high
Sensor 313 at Lake 313,Unsafe,turbidity too high
Sensor 314 at Lake 314,Unsafe,turbidity too high
Sensor 315 at Lake 315,Unsafe,turbidity too high
Sensor 316 at Lake 316,Unsafe,turbidity too high
Sensor 317 at Lake 317,Unsafe,turbidity too high
Sensor 318 at Lake 318,Unsafe,"pH too low, turbidity too high"
Sensor 319 at Lake 319,Unsafe,turbidity too high
Sensor 320 at Lake 320,Unsafe,turbidity too high
Sensor 321 at Lake 321,Unsafe,turbidity too high
Sensor 322 at Lake 322,Unsafe,"pH too low, turbidity too high"
Sensor 323 at Lake 323,Unsafe,turbidity too high
Sensor 324 at Lake 324,Unsafe,turbidity too high
Sensor 325 at Lake 325,Unsafe,turbidity too high
Sensor 326 at Lake 326,Unsafe,"pH too low, turbidity too high"
Sensor 327 at Lake 327,Unsafe,turbidity too high
Sensor 328 at Lake 328,Unsafe,"pH too low, turbidity too high"
Sensor 329 at Lake 329,Unsafe,turbidity too high
Sensor 330 at Lake 330,Unsafe,"pH too low, turbidity too high"
Sensor 331 at Lake 331,Unsafe,turbidity too high
Sensor 332 at Lake 332,Unsafe,"pH too low, turbidity too high"
Sensor 333 at Lake 333,Unsafe,turbidity too high
Sensor 334 at Lake 334,Unsafe,"pH too low, turbidity too high"
Sensor 335 at Lake 335,Unsafe,turbidity too high
Sensor 336 at Lake 336,Unsafe,turbidity too high
Sensor 337 at Lake 337,Unsafe,turbidity too high
Sensor 338 at Lake 338,Unsafe,turbidity too high
Sensor 339 at Lake 339,Unsafe,turbidity too high
Sensor 340 at Lake 340,Unsafe,turbidity too high
Sensor 341 at Lake 341,Unsafe,turbidity too high
Sensor 342 at Lake 342,Unsafe,turbidity too high
Sensor 343 at Lake 343,Unsafe,turbidity too high
Sensor 344 at Lake 344,Unsafe,turbidity too high
Sensor 345 at Lake 345,Unsafe,turbidity too high
Sensor 346 at Lake 346,Unsafe,"pH too low, turbidity too high"
Sensor 347 at Lake 347,Unsafe,turbidity too high
Sensor 348 at Lake 348,Unsafe,turbidity too high
Sensor 349 at Lake 349,Unsafe,turbidity too high
Sensor 350 at Lake 350,Unsafe,turbidity too high
Sensor 351 at Lake 351,Unsafe,turbidity too high
Sensor 352 at Lake 352,Unsafe,turbidity too high
Sensor 353 at Lake 353,Unsafe,turbidity too high
Sensor 354 at Lake 354,Unsafe,turbidity too high
Sensor 355 at Lake 355,Unsafe,turbidity too high
Sensor 356 at Lake 356,Unsafe,"pH too low, turbidity too high"
Sensor 357 at Lake 357,Unsafe,"pH too low, turbidity too high"
Sensor 358 at Lake 358,Unsafe,turbidity too high
Sensor 359 at Lake 359,Unsafe,turbidity too high
Sensor 360 at Lake 360,Unsafe,turbidity too high
Sensor 361 at Lake 361,Unsafe,"pH too low, turbidity too high"
Sensor 362 at Lake 362,Unsafe,turbidity too high
Sensor 363 at Lake 363,Unsafe,turbidity too high
Sensor 364 at Lake 364,Unsafe,turbidity too high
Sensor 365 at Lake 365,Unsafe,"pH too low, turbidity too high"
Sensor 366 at Lake 366,Unsafe,turbidity too high
Sensor 367 at Lake 367,Unsafe,"pH too low, turbidity too high"
Sensor 368 at Lake 368,Unsafe,turbidity too high
Sensor 369 at Lake 369,Unsafe,turbidity too high
Sensor 370 at Lake 370,Unsafe,turbidity too high
Sensor 371 at Lake 371,Unsafe,turbidity too high
Sensor 372 at Lake 372,Unsafe,turbidity too high
Sensor 373 at Lake 373,Unsafe,turbidity too high
Sensor 374 at Lake 374,Unsafe,turbidity too high
Sensor 375 at Lake 375,Unsafe,"pH too low, turbidity too high"
Sensor 376 at Lake 376,Unsafe,turbidity too high
Sensor 377 at Lake 377,Unsafe,"pH too low, turbidity too high"
Sensor 378 at Lake 378,Unsafe,"pH too low, turbidity too high"
Sensor 379 at Lake 379,Unsafe,"pH too low, turbidity too high"
Sensor 380 at Lake 380,Unsafe,turbidity too high
Sensor 381 at Lake 381,Unsafe,turbidity too high
Sensor 382 at Lake 382,Unsafe,turbidity too high
Sensor 383 at Lake 383,Unsafe,turbidity too high
Sensor 384 at Lake 384,Unsafe,turbidity too high
Sensor 385 at Lake 385,Unsafe,turbidity too high
Sensor 386 at Lake 386,Unsafe,turbidity too high
Sensor 387 at Lake 387,Unsafe,turbidity too high
Sensor 388 at Lake 388,Unsafe,turbidity too high
Sensor 389 at Lake 389,Unsafe,turbidity too high
Sensor 390 at Lake 390,Unsafe,turbidity too high
Sensor 391 at Lake 391,Unsafe,turbidity too high
Sensor 392 at Lake 392,Unsafe,turbidity too high
Sensor 393 at Lake 393,Unsafe,turbidity too high
Sensor 394 at Lake 394,Unsafe,turbidity too high
Sensor 395 at Lake 395,Unsafe,turbidity too high
Sensor 396 at Lake 396,Unsafe,"pH too low, turbidity too high"
Sensor 397 at Lake 397,Unsafe,"pH too low, turbidity too high"
Sensor 398 at Lake 398,Unsafe,"pH too low, turbidity too high"
Sensor 399 at Lake 399,Unsafe,turbidity too high
Sensor 400 at Lake 400,Unsafe,turbidity too high
Sensor 401 at Lake 401,Unsafe,turbidity too high
Sensor 402 at Lake 402,Unsafe,turbidity too high
Sensor 403 at Lake 403,Unsafe,"pH too low, turbidity too high"
Sensor 404 at Lake 404,Unsafe,turbidity too high
Sensor 405 at Lake 405,Unsafe,"pH too low, turbidity too high"
Sensor 406 at Lake 406,Unsafe,"pH too low, turbidity too high"
Sensor 407 at Lake 407,Unsafe,turbidity too high
Sensor 408 at Lake 408,Unsafe,turbidity too high
Sensor 409 at Lake 409,Unsafe,turbidity too high
Sensor 410 at Lake 410,Unsafe,turbidity too high
Sensor 411 at Lake 411,Unsafe,turbidity too high
Sensor 412 at Lake 412,Unsafe,turbidity too high
Sensor 413 at Lake 413,Unsafe,turbidity too high
Sensor 414 at Lake 414,Unsafe,turbidity too high
Sensor 415 at Lake 415,Unsafe,"pH too low, turbidity too high"
Sensor 416 at Lake 416,Safe,
Sensor 417 at Lake 417,Unsafe,"pH too low, turbidity too high"
Sensor 418 at Lake 418,Unsafe,turbidity too high
Sensor 419 at Lake 419,Unsafe,turbidity too high
Sensor 420 at Lake 420,Unsafe,turbidity too high
Sensor 421 at Lake 421,Unsafe,turbidity too high
Sensor 422 at Lake 422,Safe,
Sensor 423 at Lake 423,Unsafe,turbidity too high
Sensor 424 at Lake 424,Unsafe,turbidity too high
Sensor 425 at Lake 425,Unsafe,turbidity too high
Sensor 426 at Lake 426,Unsafe,pH too low
Sensor 427 at Lake 427,Unsafe,turbidity too high
Sensor 428 at Lake 428,Unsafe,turbidity too high
Sensor 429 at Lake 429,Unsafe,turbidity too high
Sensor 430 at Lake 430,Unsafe,turbidity too high
Sensor 431 at Lake 431,Unsafe,turbidity too high
Sensor 432 at Lake 432,Unsafe,turbidity too high
Sensor 433 at Lake 433,Unsafe,turbidity too high
Sensor 434 at Lake 434,Unsafe,turbidity too high
Sensor 435 at Lake 435,Unsafe,"pH too low, turbidity too high"
Sensor 436 at Lake 436,Unsafe,turbidity too high
Sensor 437 at Lake 437,Unsafe,turbidity too high
Sensor 438 at Lake 438,Unsafe,turbidity too high
Sensor 439 at Lake 439,Unsafe,turbidity too high
Sensor 440 at Lake 440,Unsafe,turbidity too high
Sensor 441 at Lake 441,Unsafe,turbidity too high
Sensor 442 at Lake 442,Unsafe,turbidity too high
Sensor 443 at Lake 443,Unsafe,turbidity too high
Sensor 444 at Lake 444,Safe,
Sensor 445 at Lake 445,Unsafe,turbidity too high
Sensor 446 at Lake 446,Unsafe,turbidity too high
Sensor 447 at Lake 447,Unsafe,turbidity too high
Sensor 448 at Lake 448,Unsafe,turbidity too high
Sensor 449 at Lake 449,Unsafe,turbidity too high
Sensor 450 at Lake 450,Unsafe,turbidity too high
Sensor 451 at Lake 451,Unsafe,turbidity too high
Sensor 452 at Lake 452,Unsafe,turbidity too high
Sensor 453 at Lake 453,Unsafe,turbidity too high
Sensor 454 at Lake 454,Unsafe,turbidity too high
Sensor 455 at Lake 455,Unsafe,turbidity too high
Sensor 456 at Lake 456,Unsafe,turbidity too high
Sensor 457 at Lake 457,Unsafe,turbidity too high
Sensor 458 at Lake 458,Unsafe,turbidity too high
Sensor 459 at Lake 459,Unsafe,turbidity too high
Sensor 460 at Lake 460,Unsafe,turbidity too high
Sensor 461 at Lake 461,Unsafe,turbidity too high
Sensor 462 at Lake 462,Unsafe,turbidity too high
Sensor 463 at Lake 463,Unsafe,turbidity too high
Sensor 464 at Lake 464,Unsafe,turbidity too high
Sensor 465 at Lake 465,Unsafe,"pH too low, turbidity too high"
Sensor 466 at Lake 466,Unsafe,turbidity too high
Sensor 467 at Lake 467,Unsafe,turbidity too high
Sensor 468 at Lake 468,Unsafe,"pH too low, turbidity too high"
Sensor 469 at Lake 469,Unsafe,turbidity too high
Sensor 470 at Lake 470,Unsafe,turbidity too high
Sensor 471 at Lake 471,Unsafe,turbidity too high
Sensor 472 at Lake 472,Unsafe,turbidity too high
Sensor 473 at Lake 473,Unsafe,turbidity too high
Sensor 474 at Lake 474,Unsafe,"pH too low, turbidity too high"
Sensor 475 at Lake 475,Unsafe,turbidity too high
Sensor 476 at Lake 476,Unsafe,turbidity too high
Sensor 477 at Lake 477,Unsafe,turbidity too high
Sensor 478 at Lake 478,Unsafe,turbidity too high
Sensor 479 at Lake 479,Unsafe,turbidity too high
Sensor 480 at Lake 480,Unsafe,turbidity too high
Sensor 481 at Lake 481,Unsafe,"pH too low, turbidity too high"
Sensor 482 at Lake 482,Unsafe,turbidity too high
Sensor 483 at Lake 483,Unsafe,turbidity too high
Sensor 484 at Lake 484,Unsafe,turbidity too high
Sensor 485 at Lake 485,Unsafe,turbidity too high
Sensor 486 at Lake 486,Unsafe,"pH too low, turbidity too high"
Sensor 487 at Lake 487,Unsafe,turbidity too high
Sensor 488 at Lake 488,Unsafe,turbidity too high
Sensor 489 at Lake 489,Unsafe,turbidity too high
Sensor 490 at Lake 490,Unsafe,turbidity too high
Sensor 491 at Lake 491,Unsafe,turbidity too high
Sensor 492 at Lake 492,Unsafe,turbidity too high
Sensor 493 at Lake 493,Unsafe,turbidity too high
Sensor 494 at Lake 494,Unsafe,turbidity too high
Sensor 495 at Lake 495,Unsafe,turbidity too high
Sensor 496 at Lake 496,Unsafe,turbidity too high
Sensor 497 at Lake 497,Unsafe,turbidity too high
Sensor 498 at Lake 498,Unsafe,turbidity too high
Sensor 499 at Lake 499,Unsafe,turbidity too high
Sensor 500 at Lake 500,Unsafe,turbidity too high
